,date,year exp,score,pros,cons,position
385,2022-04-14,Current Employee,4.0,Total compensation is quite competitive.,"Working hours might be long, especially if you are collaborating with teams in China.",Software Engineer
386,2022-04-15,Current Employee,3.0,love the people on the team,"too much work, and bad standardized work procedures",Administrative Assistant
387,2022-04-16,Current Employee,4.0,competitive salary. excellent working environment.,"fast paced, no WLB at all.",Software Development Engineer
388,2022-04-16,"Current Employee, more than 1 year",4.0,So far so good enough,Sometimes we handle unexpected project,Quality Analyst
389,2022-04-01,"Current Employee, more than 1 year",5.0,"Best company, Career growth, Good pay",Usual stress levels compared to other job,Content Moderator
390,2022-04-15,"Current Employee, more than 3 years",4.0,Great opportunities for personal growth.,Lots of the resources and documentation is in Chinese,Frontend Engineer
391,2022-04-16,"Former Employee, more than 3 years",2.0,"Highly efficiency, salary beyond the average of industry",Long work time (14 hours a day) and high pressure,Product Manager
392,2022-03-30,Current Employee,5.0,"lots of challenges and work with the complicated system, colleagues are young and energetic","lots of things need to do,  busy and fulfill daily",QA Automation Engineer
393,2022-04-13,"Current Employee, more than 1 year",3.0,Good health benefit. Wfh. Work flexibity,Low increment. Sometimes no increment at all.,Quality Assurance
394,2022-03-29,"Current Employee, more than 1 year",5.0,Company with Good salary and benefits,Work schedule is not fixed for moderation job,Anonymous Employee
395,2022-04-09,Former Employee,4.0,"Products growing extremely fast., Somewhat flat org. Responsibilities expand fast if you are willing to take risks.",The burnout is very real.,Anonymous Employee
396,2022-04-09,"Current Employee, more than 3 years",4.0,A bright future for TikTok,"High pressure. When you stop, you lose.",Anonymous Employee
397,2022-03-28,"Current Employee, more than 1 year",5.0,"Flexible, Work from home , good work mate","Ad-hoc, multi-tasking and new knowledge everyday to adapt",Quality Analyst
398,2022-04-11,Current Employee,3.0,good salary payment throught the year,managment dont hear out your opinions,Subject Matter Expert (SME)
399,2022-03-27,"Former Employee, more than 3 years",5.0,Large scope and move fast.,Work-life balance is not so good.,Machine Learning Engineer
400,2022-04-10,Current Employee,4.0,"Good benefit, good working environment",So far no salary increment,QAA
401,2022-04-08,"Former Employee, more than 1 year",4.0,"MNC like culture, good relationship with the employee",no cons everything was fine,Subject Matter Expert (SME)
402,2022-03-21,Current Employee,5.0,Life-changing opportunity for me to learn and grow with a unicorn.,Still early stages with all of the associated hiccups.  Pay is not competitive,Product Marketing Manager
403,2022-03-24,Current Employee,5.0,fast paced and great collaboration,"too busy and tired, so many tasks",Account Manager
404,2022-04-07,"Former Employee, more than 1 year",2.0,Good Compensation and organization in the office,Too fast working speed and confusing onboarding process,Anonymous Employee
405,2022-03-23,"Current Employee, more than 1 year",5.0,Amazing culture and good salary,No cons as of now,Anonymous Employee
406,2022-04-06,"Former Employee, more than 3 years",4.0,Pay Masters. Work culture is good. Best place for your Career Growth. Best Place to learn. Mutual benefit. Provide world class training.,"None. But the stopped the Indian Operations due to Geo Political Issues. Willing to work again, if get chance.",Content Operations Specialist
407,2022-04-06,"Current Employee, more than 1 year",3.0,"high payment, good benefits, beautiful office building","chaotic management, long hours, stressful pace",Anonymous Employee
408,2022-03-22,"Former Employee, more than 1 year",5.0,"Loved the culture and their focus on building outstanding product globally., , Changed the game of Advertising !!",Nothing.. should have continued with India operations,Senior Manager
409,2022-03-18,"Former Employee, less than 1 year",5.0,Good for graduates. Lots of job opportunities,Too many working hours for me,Software Developer
410,2022-04-01,"Current Employee, less than 1 year",4.0,A good platform to learn extensive professional skills at ByteDance,"1095, there is no WLB",Data Analyst
411,2022-03-17,"Current Employee, less than 1 year",5.0,Great place to work with,Nothing cons about the job,Social Media Content Moderator
412,2022-03-28,Current Employee,4.0,"Growth, clout, smart colleagues, name.","Pay, pay, pay, pay, pay.",Software Engineer
413,2022-03-16,"Former Employee, less than 1 year",5.0,Grow quickly and have many improvement on professional ability,I think the overall is good.,User Experience Designer
414,2022-03-30,Former Employee,4.0,Learned a lot from working there,Might have long hours depending on your team but nothing is not manageable.,Intern
415,2022-03-30,Former Employee,4.0,"steep learning curve, nice working environment","overtime working every month, high pressure",Anonymous Employee
416,2022-03-29,"Current Employee, less than 1 year",4.0,Friendly atmosphere. Most of your colleagues are ready to help you when you ask them questions.,Little work-life balance. You can feed that many of your colleagues work overtime.,Anonymous Employee
417,2022-03-14,Current Employee,5.0,"good tech, collaborative culture, flexible , alot of teambuilding events","997 culture, horizontal structure, less room for promotion",Head of Ecommerce
418,2022-03-28,"Former Employee, more than 1 year",4.0,"hustle ppl, efficacy, rewarding (higher than market price)","overworked, lack of culture, lack of team bonding and communication",Product Manager
419,2022-03-10,Current Employee,5.0,"office culture is engaging, lots of opportunities to move up and take on new positions","24/7 operations, so some shifts may not be the most ideal for some people.",Trust and Safety Specialist
420,2022-03-28,"Current Employee, more than 1 year",3.0,good allowances. good kpi %. tasks are manageable. really good benefits.,"not easy to achieve kpi, so kpi bonus not easy to get.",User Generated Content Moderator
421,2022-03-28,Current Employee,3.0,"working here  is  good experience   for  me,its helpful",daily work is very busy,Software Test Engineer
422,2022-03-27,"Former Employee, less than 1 year",4.0,a lot to learn for juniors,no life and work balance,Anonymous Employee
423,2022-03-27,"Current Employee, more than 1 year",4.0,Diverse work you can really get involved with,Its not for the faint hearted as you have to roll up your sleeves and be prepared to work extremely hard with little hand holding.,Legal Counsel
424,2022-03-24,"Current Employee, more than 3 years",4.0,Great values and opportunities for building product from ground,Empower more local leaders to make decision,TPM Manager
425,2022-03-26,Current Employee,4.0,"Experienced mentors, easy to communicate",Daily tasks are not diverse enough,Data Analyst Intern
426,2022-03-11,"Current Employee, more than 1 year",5.0,They take care of everyone wellfare,Not much career growth and you only focus on things yo do repeatedly,Model Optimization Specialist
427,2022-03-10,Current Employee,5.0,good resources and good colleagues,tired and not much personal time,Senior Data Engineer
428,2022-04-14,"Current Employee, less than 1 year",1.0,Nice IT System and free meal,"Lack of effective management, Lack of Systematic Traning, Lack of consistent long term strategy, HR system is a mess",Head of Strategy
